,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
298,2018-04-25 00:00:00,2018,IGF::OT::IGF EMERGENCY RESPONSE SUPPORT SERVICES CALL ORDER 0002,DOCAB133C18BA0018,DOCAB133C18BA0018C0002,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_DOCAB133C18BA0018C0002_1330_DOCAB133C18BA0018_1330,14941.08,2019-12-31 11:16:45,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2018-05-10 00:00:00,2018-05-10 00:00:00,2018-04-25 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2018,29201,29201
1824,2018-11-27 00:00:00,2019,IGF::CL::IGF NCEA QA SUPPORT FOR REVIEWS AND AUDITS,EPC18007,68HERC19F0043,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0043_6800_EPC18007_6800,34213.0,2018-11-27 17:07:39,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-11-26 00:00:00,2019-11-26 00:00:00,2018-11-27 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80215,80215
1833,2019-08-05 00:00:00,2019,2019 NRMRL AEMD LABORATORY COMPETENCY ASSESSMENTS,EPC18007,68HERC19F0092,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0092_6800_EPC18007_6800,-819.64,2019-08-05 09:57:20,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-07-03 00:00:00,2019-07-03 00:00:00,2019-08-05 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
2110,2018-10-29 00:00:00,2019,IGF::CL::IGF ISO 17025:2017 ACCREDITATION SUPPORT FOR THE NRMRL-CINCINNATI METROLOGY LABORATORY,EPC18007,68HERC19F0024,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0024_6800_EPC18007_6800,14805.0,2018-10-29 16:29:07,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-01-31 00:00:00,2019-01-31 00:00:00,2018-10-29 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80215,80215
2764,2019-06-28 00:00:00,2019,NR-ARD-146 GPMP-OPT TASK 10-WINTER VEHICLE ISSUE AIR QUALITY MONITORING IN YELLOWSTONE.,INP16PC00320,140P2119F0088,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2119F0088_1443_INP16PC00320_1443,47037.0,2019-06-28 14:03:13,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,YELLOWSTONE NATIONAL PARK,0.0,USA,UNITED STATES,PARK,WYOMING,WY,821900008,2020-07-31 00:00:00,2020-07-31 00:00:00,2019-06-28 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2019,82190,80525
4173,2019-08-13 00:00:00,2019,DEOBLIGATION OF UNUSED FUNDS,DOCAB133C12CQ0039,DOCT0036,DELIVERY ORDER,C,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_DOCT0036_1330_DOCAB133C12CQ0039_1330,-23992.61,2019-08-13 12:45:39,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981157164,2018-03-30 00:00:00,2018-03-30 00:00:00,2019-08-13 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2019,98115,29201
4528,2020-12-16 00:00:00,2021,CESER/GCRD QA SUPPORT FOR REVIEWS AND AUDITS (TO 70).,EPC18007,68HERH21F0068,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH21F0068_6800_EPC18007_6800,122965.0,2021-03-01 15:56:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2021-12-15 00:00:00,2021-12-15 00:00:00,2020-12-16 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
4870,2019-09-23 00:00:00,2019,(SBSA) ANALYTICAL SUPPORT SERVICES FOR AIR&RADIATION PROGRAMS,EPD14033,EPD14033,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERD,INFORMATION TECHNOLOGY ACQ DIV (ITA,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPD14033_6800_-NONE-_-NONE-,257700.0,2019-09-23 10:12:36,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222013324,2020-03-31 00:00:00,2020-03-31 00:00:00,2019-09-23 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2019,22201,22201
5212,2018-11-23 00:00:00,2019,ANTLER MINE PRP SEARCH,GS00F055CA,W912PL19F0004,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),W912PL,W075 ENDIST LOS ANGELES,2100,DEPT OF THE ARMY,CONT_AWD_W912PL19F0004_9700_GS00F055CA_4732,17566.5,2021-02-26 15:24:16,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4732,FEDERAL ACQUISITION SERVICE,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281532,2019-05-25 00:00:00,2019-05-25 00:00:00,2018-11-23 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,80228,80228
5248,2019-05-07 00:00:00,2019,IGF::CL::IGF NATIONAL RIVERS AND STREAMS ASSESSMENT 2018-2019: FIELD SAMPLING,EPC16008,0006,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0006_6800_EPC16008_6800,-74593.06,2019-05-07 15:49:45,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2020-01-31 00:00:00,2020-01-31 00:00:00,2019-05-07 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2019,49686,49686
5653,2020-03-18 00:00:00,2020,PROGRAM MANAGEMENT SUPPORT 6 MONTH EXTENSION,HSBP1016C00021,HSBP1016C00021,DEFINITIVE CONTRACT,D,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70B01C,DHS CUSTOMS AND BORDER PROTECTION,7014,U.S. CUSTOMS AND BORDER PROTECTION,CONT_AWD_HSBP1016C00021_7014_-NONE-_-NONE-,2441339.2,2020-04-01 00:10:44,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,1,7014,DEPARTMENT OF HOMELAND SECURITY (DHS),CATOOSA,1.0,USA,UNITED STATES,ROGERS,OKLAHOMA,OK,740153235,2020-09-18 00:00:00,2020-09-18 00:00:00,2016-03-19 10:44:25,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2020,74015,74015
6018,2018-12-04 00:00:00,2019,IGF::CL::IGF TECHNICAL AND REGULATORY SUPPORT FOR THE DEVELOPMENT OF CRITERIA FOR WATER MEDIA (ECOLOGICAL EMPHASIS),EPC14022,EPC14022,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC14022_6800_-NONE-_-NONE-,140000.0,2018-12-04 14:40:47,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2019-06-30 00:00:00,2020-01-03 00:00:00,2018-12-04 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2018,49686,49686
6660,2018-06-01 00:00:00,2018,INTERSTATE MUTUAL AID AND SPILL PREPAREDNESS TRAINING IN ACCORDANCE WITH THE ATTACHED PERFORMANCE WORK STATEMENT.,EPBPA13C0002,EPB18C00010,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB18C00010_6800_EPBPA13C0002_6800,17632.16,2018-11-30 14:21:10,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2019-02-27 00:00:00,2019-02-27 00:00:00,2018-06-01 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
7504,2018-07-19 00:00:00,2018,NEW TASK ORDER FOR PRP SEARCH - RICHWOODS.,EPS91601,68HE0718F0454,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0718F0454_6800_EPS91601_6800,22406.0,2018-07-19 17:30:42,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LENEXA,3.0,USA,UNITED STATES,JOHNSON,KANSAS,KS,662191161,2019-05-31 00:00:00,2019-05-31 00:00:00,2018-07-19 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,66219,80228
7707,2020-02-26 00:00:00,2020,"PASSIVE SOIL GAS WELL INSTALLATION AND SAMPLING AT DELFASCO FORGE, GRAND PRAIRIE, TEXAS REPA 5 ZONE 2 (REGIONS 4, 5, AND 6). PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE FUNDING IN THE AMOUNT OF $4,659.19.",EPW12032,6641,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_6641_6800_EPW12032_6800,-4659.19,2020-03-25 20:17:32,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2018-02-28 00:00:00,2018-02-28 00:00:00,2017-07-13 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
8297,2020-03-09 00:00:00,2020,"DE-OBLIGATE THE REMAINING $27,375.67 2017 - IR (INFRARED) FLYOVER PROJECT REPA 5 ZONE 2 (REGIONS 4, 5, AND 6)",EPW12032,6643,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0Z,CONTRACT CLOSEOUT TEAM (CCT),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_6643_6800_EPW12032_6800,-27375.67,2020-03-25 20:13:38,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2018-11-15 00:00:00,2018-11-15 00:00:00,2018-01-08 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
8375,2018-07-31 00:00:00,2018,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT OMEGA SUPERFUND SITE OPTION YEAR 1 MOD 2,EPS91601,9027,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_9027_6800_EPS91601_6800,20000.0,2018-07-31 14:13:59,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2018-08-31 00:00:00,2018-08-31 00:00:00,2018-07-31 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,94105,80228
8377,2018-02-01 00:00:00,2018,IGF::OT::IGF FOR OTHER FUNCTIONS-HUMAN CAPITAL SERVICES,TFSAFIN17D0004,20341218F00025,DELIVERY ORDER,C,20,DEPARTMENT OF THE TREASURY (TREAS),203412,ARC DIV PROC SVCS - FINCEN,2036,BUREAU OF THE FISCAL SERVICE,CONT_AWD_20341218F00025_2036_TFSAFIN17D0004_2036,496284.7,2018-07-14 21:41:17,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",1,2036,BUREAU OF THE FISCAL SERVICE,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200363811,2019-01-31 00:00:00,2019-01-31 00:00:00,2018-02-01 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,20036,74015
9102,2019-02-26 00:00:00,2019,CIF SUPPORT SERVICES LABOR,N0018916C0044,N0018916C0044,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),N00189,NAVSUP FLT LOG CTR NORFOLK,1700,DEPT OF THE NAVY,CONT_AWD_N0018916C0044_9700_-NONE-_-NONE-,3609000.0,2019-02-26 13:20:18,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",1,1700,DEPARTMENT OF DEFENSE (DOD),WILLIAMSBURG,2.0,USA,UNITED STATES,YORK,VIRGINIA,VA,231855830,2020-03-25 00:00:00,2021-03-25 00:00:00,2019-02-19 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2019,23185,74015
10325,2020-09-08 00:00:00,2020,NATURAL AND CULTURAL RESOURCE COMPLIANCE,W9124820C0004,W9124820C0004,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),W91248,W6QM MICC-FT CAMPBELL,2100,DEPT OF THE ARMY,CONT_AWD_W9124820C0004_9700_-NONE-_-NONE-,679173.0,2020-09-08 15:18:01,541620,ENVIRONMENTAL CONSULTING SERVICES,1,2100,DEPARTMENT OF DEFENSE (DOD),FORT CAMPBELL,7.0,USA,UNITED STATES,MONTGOMERY,TENNESSEE,TN,422235346,2021-03-31 00:00:00,2025-03-31 00:00:00,2020-09-08 00:00:00,SAN ANTONIO,79192385,SPECPRO PROFESSIONAL SERVICES LLC,782484517,2020,42223,78248
11018,2019-07-10 00:00:00,2019,"CORRECTIVE ACTION SUPPORT FOR AMERICAN METALS, WESTLAKE, OH; ARIZONA CHEMICAL, DOVER, OH; A.K STEEL, MANSFIELD, OH; ASHLAND CHEMICAL, CALUMET CITY, IL; AND MODINEER, NILES, MI  MOD P00007 - THIS MODIFICATION OBLIGATES FUNDS IN THE AMOUNT OF $4,500.",EPW12032,5541,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0S,SF PROC OPS DIVISION (SRRPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_5541_6800_EPW12032_6800,-0.82,2019-07-10 14:43:47,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606043507,2019-05-15 00:00:00,2019-05-15 00:00:00,2019-07-10 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,60604,80228
