action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
2021-06-24 00:00:00,2021,THE PURPOSE OF THIS ADMINISTRATIVE MODIFICATION IS TO INCORPORATE INFORMATION TECHNOLOGY SECURITY AND PRIVACY TRAINING (MAR 2015)TO THE CONTRACT,HSFE2016A0202,70FB7021F00000038,BPA CALL,A,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70FB70,INCIDENT SUPPORT SECTION(ISS70),7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,CONT_AWD_70FB7021F00000038_7022_HSFE2016A0202_7022,399910.56,2021-06-25 08:58:10,541611,1.0,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200011152,2021-08-04 00:00:00,2022-08-14 00:00:00,2021-05-24 00:00:00,MORRISVILLE,601275282,INNOVATIVE EMERGENCY MANAGEMEN,275608477.0,2021,20001,27560
2021-05-24 00:00:00,2021,2021 TEAM AND INDIVIDUAL COACHING  SERVICES FOR FOREST SERVICE IP,12318720A0001,12318721F0125,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),123187,USDA FOREST SERVICE,12C2,FOREST SERVICE,CONT_AWD_12318721F0125_12C2_12318720A0001_12C2,2224.07,2021-06-21 12:18:26,541611,1.0,12C2,FOREST SERVICE,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200908521,2022-02-28 00:00:00,2022-02-28 00:00:00,2021-03-01 00:00:00,ARLINGTON,114391543,TRAINING RESOURCES GROUP INC,222031867.0,2021,20090,22203
2021-05-28 00:00:00,2021,FUNDING,SAQMMA17D0052,19AQMM20F1295,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_19AQMM20F1295_1900_SAQMMA17D0052_1900,392269.6,2021-06-03 19:11:30,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205220001,2021-04-01 00:00:00,2025-04-01 00:00:00,2020-04-02 00:00:00,CHESAPEAKE,79359370,GOLDBELT C6 LLC,233202640.0,2021,20522,23320
2021-05-03 00:00:00,2021,"THE PURPOSE OF THIS REQUISITION IS TO ESTABLISH A ""NEW"" TASK ORDER UNDER THE NORTHBOUND AWARD, DE-EE0008101 FOR THE ENERGYSHEDS WORKSHOP TO BE HELD THE 3RD WEEK IN MAY 2021.",DEEE0008101,89243421FEE400213,DELIVERY ORDER,C,89,DEPARTMENT OF ENERGY (DOE),892434,GOLDEN FIELD OFFICE,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_89243421FEE400213_8900_DEEE0008101_8900,17734.85,2021-05-03 19:51:03,541611,1.0,8900,"ENERGY, DEPARTMENT OF",ASHBURN,10.0,USA,UNITED STATES,LOUDOUN,VIRGINIA,VA,201480007,2021-10-29 00:00:00,2021-10-29 00:00:00,2021-05-03 00:00:00,LEESBURG,80538525,NORTHBOUND SOLUTIONS LLC,201763112.0,2021,20148,20176
2021-05-10 00:00:00,2021,CLINICAL CONTACT CENTER MODERNIZATION,36C77619C0021,36C77619C0021,DEFINITIVE CONTRACT,D,36,DEPARTMENT OF VETERANS AFFAIRS (VA),36C776,PCAC HEALTH INFORMATION (36C776),3600,"VETERANS AFFAIRS, DEPARTMENT OF",CONT_AWD_36C77619C0021_3600_-NONE-_-NONE-,-38915.04,2021-05-12 13:37:06,541618,1.0,3600,DEPARTMENT OF VETERANS AFFAIRS (VA),PHOENIX,9.0,USA,UNITED STATES,MARICOPA,ARIZONA,AZ,850480010,2020-09-29 00:00:00,2020-09-29 00:00:00,2019-09-30 00:00:00,PHOENIX,89072826,KT CONSULTING INC,850487650.0,2021,85048,85048
2021-06-03 00:00:00,2021,THIS MODIFICATION DE-OBLIGATES FUNDS FROM OPTION YEAR 1.,SAQMMA16D0022,SAQMMA17F0311,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_SAQMMA17F0311_1900_SAQMMA16D0022_1900,-35016.24,2021-06-08 09:23:22,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205200099,2021-12-18 00:00:00,2021-12-18 00:00:00,2016-12-19 00:00:00,COLUMBIA,126658892,KENJYA-TRUSANT GROUP LLC THE,210455156.0,2021,20520,21045
2021-05-04 00:00:00,2021,WORKFORCE TRAINING AND MANAGEMENT SUPPORT  MODIFICATION P00041: ADD FUNDING,EPW13016,0001,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0001_6800_EPW13016_6800,393000.0,2021-05-04 13:41:19,541620,1.0,6800,ENVIRONMENTAL PROTECTION AGENCY,SILVER SPRING,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,209103439,2022-03-02 00:00:00,2022-03-02 00:00:00,2013-09-26 00:00:00,SILVER SPRING,106741598,ENVIRONMENTAL MANAGEMENT SUPPORT INC,209103439.0,2021,20910,20910
2021-06-03 00:00:00,2021,"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION PERIOD TWO FROM JUNE 27, 2021 THROUGH JUNE 26, 2022/ SEPTEMBER 1, 2021 THROUGH AUGUST 31, 2022 AND TO INCREASE FUNDING BY $80,000 TO PARTIALLY FUND OPTION PERIOD TWO.",91990019C0068,91990019C0068,DEFINITIVE CONTRACT,D,91,DEPARTMENT OF EDUCATION (ED),919900,CONTRACTS AND ACQUISTIONS MANAGEMEN,9100,"EDUCATION, DEPARTMENT OF",CONT_AWD_91990019C0068_9100_-NONE-_-NONE-,80000.0,2021-06-24 10:35:53,541611,1.0,9100,DEPARTMENT OF EDUCATION (ED),NORMAN,4.0,USA,UNITED STATES,CLEVELAND,OKLAHOMA,OK,730711166,2021-08-31 00:00:00,2024-06-29 00:00:00,2019-09-27 00:00:00,NORMAN,80374129,CHICKASAW HEALTH CONSULTING LLC,730711166.0,2021,73071,73071
2021-06-04 00:00:00,2021,PROVIDE RETIREMENT AND BENEFITS SERVICES TO EMPLOYEES IN THE REE MISSION AREA.,1232SB18A0005,1232SA21F0077,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),1232SA,USDA ARS AFM APD,12H2,AGRICULTURAL RESEARCH SERVICE,CONT_AWD_1232SA21F0077_12H2_1232SB18A0005_12H2,791752.0,2021-06-04 10:36:18,541612,1.0,12H2,AGRICULTURAL RESEARCH SERVICE,BELTSVILLE,5.0,USA,UNITED STATES,PRINCE GEORGES,MARYLAND,MD,207055000,2022-07-09 00:00:00,2022-07-09 00:00:00,2021-06-03 00:00:00,DUBLIN,78750837,GOVSTRIVE LLC,310214244.0,2021,20705,31021
2021-06-11 00:00:00,2021,REQUEST FOR INVESTIGATION  DEOBLIGATION OF FUNDS/CONTRACT CLOSEOUT,AG7245B130009,AG3142K160019,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),123144,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",1205,"USDA, DEPARTMENTAL ADMINISTRATION",CONT_AWD_AG3142K160019_1205_AG7245B130009_1205,-1326.21,2021-06-11 10:12:20,541611,1.0,1205,"USDA, DEPARTMENTAL ADMINISTRATION",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200244714,2017-03-03 00:00:00,2017-03-03 00:00:00,2016-03-04 00:00:00,ALPHARETTA,94679219,INQUEST SOLUTIONS INC,300093610.0,2021,20024,30009
